street_name,postal_code,zone_name,latitude,longitude,full_address
Congo Water Road,1172,Congo Water,8.4912,-13.2122,"Congo Water Road, Congo Water, 1172"
Circular Road,1147,Circular Road,8.4870,-13.2210,"Circular Road, Circular Road, 1147"
Foulah Town Road,1107,Foulah Town,8.4868,-13.2210,"Foulah Town Road, Foulah Town, 1107"
Samba Gutter,1173,Samba Gutter,8.4868,-13.2212,"Samba Gutter, Samba Gutter, 1173"
Murray Town Road,1108,Murray Town,8.4680,-13.2660,"Murray Town Road, Murray Town, 1108"
Murray Town Barracks Road,1169,Murray Town Barracks,8.4675,-13.2665,"Murray Town Barracks Road, Murray Town Barracks, 1169"
Wilkinson Road,1109,Brookfields,8.4600,-13.2460,"Wilkinson Road, Brookfields, 1109"
Main Motor Road,1109,Brookfields,8.4580,-13.2450,"Main Motor Road, Brookfields, 1109"
Spur Road,1149,Spur Road,8.4590,-13.2470,"Spur Road, Spur Road, 1149"
Spur Loop Road,1149,Spur Road,8.4585,-13.2475,"Spur Loop Road, Spur Road, 1149"
SLBS Road,1150,SLBS,8.4605,-13.2455,"SLBS Road, SLBS, 1150"
PZ Junction,1148,PZ,8.4610,-13.2450,"PZ Junction, PZ, 1148"
King Harman Road,1151,King Harman,8.4595,-13.2465,"King Harman Road, King Harman, 1151"
New England Main Road,1110,New England,8.4680,-13.2410,"New England Main Road, New England, 1110"
New England Ville,1110,New England,8.4685,-13.2420,"New England Ville, New England, 1110"
Jomo Kenyatta Road,1110,New England,8.4675,-13.2400,"Jomo Kenyatta Road, New England, 1110"
New England Hill Road,1110,New England,8.4688,-13.2415,"New England Hill Road, New England, 1110"
Tengbeh Town Road,1111,Tengbeh Town,8.4775,-13.2435,"Tengbeh Town Road, Tengbeh Town, 1111"
Imatt Road,1112,Imatt,8.4700,-13.2390,"Imatt Road, Imatt, 1112"
Imatt Junction,1112,Imatt,8.4705,-13.2395,"Imatt Junction, Imatt, 1112"
Imatt Back Road,1112,Imatt,8.4695,-13.2385,"Imatt Back Road, Imatt, 1112"
Imatt Housing Road,1112,Imatt,8.4710,-13.2400,"Imatt Housing Road, Imatt, 1112"
Imatt Police Post Road,1112,Imatt,8.4715,-13.2405,"Imatt Police Post Road, Imatt, 1112"
Imatt Market Road,1112,Imatt,8.4708,-13.2398,"Imatt Market Road, Imatt, 1112"
Dwarzak Farm Road,1113,Dwarzak,8.4690,-13.2380,"Dwarzak Farm Road, Dwarzak, 1113"
Dwarzak Junction,1113,Dwarzak,8.4695,-13.2375,"Dwarzak Junction, Dwarzak, 1113"
Dwarzak Main Road,1113,Dwarzak,8.4698,-13.2382,"Dwarzak Main Road, Dwarzak, 1113"
Dwarzak School Road,1113,Dwarzak,8.4692,-13.2378,"Dwarzak School Road, Dwarzak, 1113"
Hill Station Road,1114,Hill Station,8.4540,-13.2645,"Hill Station Road, Hill Station, 1114"
Ross Road,1166,Ross Road,8.4535,-13.2648,"Ross Road, Ross Road, 1166"
Ginger Hall Road,1167,Ginger Hall,8.4545,-13.2650,"Ginger Hall Road, Ginger Hall, 1167"
Leicester Road,1168,Leicester Road,8.4530,-13.2655,"Leicester Road, Leicester Road, 1168"
Wilberforce Village Road,1115,Wilberforce,8.4410,-13.2700,"Wilberforce Village Road, Wilberforce, 1115"
Wilberforce Barracks Road,1115,Wilberforce,8.4415,-13.2705,"Wilberforce Barracks Road, Wilberforce, 1115"
Regent Road,1115,Wilberforce,8.4420,-13.2710,"Regent Road, Wilberforce, 1115"
Signal Hill Road,1116,Signal Hill,8.4370,-13.2780,"Signal Hill Road, Signal Hill, 1116"
Lumley Beach Road,1117,Lumley,8.4320,-13.2860,"Lumley Beach Road, Lumley, 1117"
Lumley Junction,1178,Lumley Junction,8.4325,-13.2865,"Lumley Junction, Lumley Junction, 1178"
Aberdeen Road,1118,Aberdeen,8.4180,-13.2935,"Aberdeen Road, Aberdeen, 1118"
Aberdeen Junction,1179,Aberdeen Junction,8.4185,-13.2930,"Aberdeen Junction, Aberdeen Junction, 1179"
Aberdeen Ferry Road,1174,Aberdeen Ferry,8.4175,-13.2940,"Aberdeen Ferry Road, Aberdeen Ferry, 1174"
Cape Road,1175,Cape Road,8.4178,-13.2938,"Cape Road, Cape Road, 1175"
Man of War Bay Road,1176,Man of War Bay,8.4182,-13.2932,"Man of War Bay Road, Man of War Bay, 1176"
Mama Beach Road,1177,Mama Beach,8.4170,-13.2945,"Mama Beach Road, Mama Beach, 1177"
Cockle Bay Road,1119,Cockle Bay,8.4110,-13.3082,"Cockle Bay Road, Cockle Bay, 1119"
Goderich Street,1120,Goderich,8.4060,-13.3180,"Goderich Street, Goderich, 1120"
Juba Road,1121,Juba,8.4445,-13.3020,"Juba Road, Juba, 1121"
Lakka Village Road,1122,Lakka,8.3884,-13.3280,"Lakka Village Road, Lakka, 1122"
Tokeh Road,1122,Lakka,8.3875,-13.3285,"Tokeh Road, Lakka, 1122"
Kissy Road,1123,Kissy,8.4870,-13.1830,"Kissy Road, Kissy, 1123"
Bai Bureh Road,1142,Bai Bureh,8.4865,-13.1835,"Bai Bureh Road, Bai Bureh, 1142"
Kissy Shell Road,1123,Kissy,8.4872,-13.1828,"Kissy Shell Road, Kissy, 1123"
Kissy Dockyards Road,1145,Kissy Dockyards,8.4868,-13.1832,"Kissy Dockyards Road, Kissy Dockyards, 1145"
Kissy Bye Pass Road,1124,Kissy Brook,8.4720,-13.1790,"Kissy Bye Pass Road, Kissy Brook, 1124"
Upper Kissy Road,1143,Upper Kissy,8.4725,-13.1795,"Upper Kissy Road, Upper Kissy, 1143"
Blackhall Road,1125,Kissy Mess Mess,8.4555,-13.1735,"Blackhall Road, Kissy Mess Mess, 1125"
Grassfield Road,1139,Grass Field,8.4558,-13.1738,"Grassfield Road, Grass Field, 1139"
Wellington Street,1126,Wellington,8.4870,-13.1625,"Wellington Street, Wellington, 1126"
Wellington Industrial Estate,1126,Wellington,8.4875,-13.1630,"Wellington Industrial Estate, Wellington, 1126"
Shell Compound Road,1140,Shell,8.4860,-13.1620,"Shell Compound Road, Shell, 1140"
Old Wharf Road,1126,Wellington,8.4865,-13.1630,"Old Wharf Road, Wellington, 1126"
Ferry Junction,1141,Ferry Junction,8.4880,-13.1635,"Ferry Junction, Ferry Junction, 1141"
Portee Road,1127,Portee,8.4915,-13.1555,"Portee Road, Portee, 1127"
Calaba Town Road,1128,Calaba Town,8.4995,-13.1450,"Calaba Town Road, Calaba Town, 1128"
Calaba Town Junction,1128,Calaba Town,8.4998,-13.1455,"Calaba Town Junction, Calaba Town, 1128"
Allen Town Road,1129,Allen Town,8.5040,-13.1350,"Allen Town Road, Allen Town, 1129"
Allen Town Junction,1129,Allen Town,8.5045,-13.1345,"Allen Town Junction, Allen Town, 1129"
Peninsular Road,1129,Allen Town,8.5050,-13.1350,"Peninsular Road, Allen Town, 1129"
Kingtom Road,1130,Kingtom,8.4800,-13.2560,"Kingtom Road, Kingtom, 1130"
Fisher Street,1183,Fisher Street,8.4805,-13.2555,"Fisher Street, Fisher Street, 1183"
Ferry Road,1180,Ferry Road,8.4802,-13.2558,"Ferry Road, Ferry Road, 1180"
Government Wharf Road,1181,Government Wharf,8.4808,-13.2560,"Government Wharf Road, Government Wharf, 1181"
Queen Elizabeth Quay,1182,Queen Elizabeth Quay,8.4810,-13.2565,"Queen Elizabeth Quay, Queen Elizabeth Quay, 1182"
Kroo Town Road,1131,Kroo Town,8.4975,-13.2070,"Kroo Town Road, Kroo Town, 1131"
Crab Town Road,1184,Crab Town,8.4980,-13.2065,"Crab Town Road, Crab Town, 1184"
Kroo Bay Road,1132,Kroo Bay,8.4755,-13.2290,"Kroo Bay Road, Kroo Bay, 1132"
Susan's Bay Road,1133,Susan's Bay,8.4795,-13.2020,"Susan's Bay Road, Susan's Bay, 1133"
Magazine Cut,1134,Magazine Cut,8.4785,-13.2000,"Magazine Cut, Magazine Cut, 1134"
Thunder Hill Road,1135,Thunder Hill,8.4782,-13.2005,"Thunder Hill Road, Thunder Hill, 1135"
Big Wharf Road,1136,Big Wharf,8.4790,-13.2015,"Big Wharf Road, Big Wharf, 1136"
Mabella Road,1137,Mabella,8.4750,-13.2280,"Mabella Road, Mabella, 1137"
Sawpit Road,1138,Sawpit,8.4745,-13.2275,"Sawpit Road, Sawpit, 1138"
Rawdon Street,1152,Rawdon Street,8.4785,-13.2295,"Rawdon Street, Rawdon Street, 1152"
Lightfoot Boston Street,1153,Lightfoot Boston,8.4792,-13.2270,"Lightfoot Boston Street, Lightfoot Boston, 1153"
Gloucester Street,1154,Gloucester Street,8.4780,-13.2255,"Gloucester Street, Gloucester Street, 1154"
Howe Street,1155,Howe Street,8.4775,-13.2240,"Howe Street, Howe Street, 1155"
Westmoreland Street,1156,Westmoreland,8.4775,-13.2278,"Westmoreland Street, Westmoreland, 1156"
George Street,1157,George Street,8.4782,-13.2272,"George Street, George Street, 1157"
Charlotte Street,1158,Charlotte Street,8.4765,-13.2275,"Charlotte Street, Charlotte Street, 1158"
Garrison Street,1159,Garrison Street,8.4760,-13.2265,"Garrison Street, Garrison Street, 1159"
Wallace Johnson Street,1160,Wallace Johnson,8.4790,-13.2310,"Wallace Johnson Street, Wallace Johnson, 1160"
Walpole Street,1161,Walpole Street,8.4782,-13.2305,"Walpole Street, Walpole Street, 1161"
Sanders Street,1162,Sanders Street,8.4778,-13.2268,"Sanders Street, Sanders Street, 1162"
Liverpool Street,1163,Liverpool Street,8.4772,-13.2262,"Liverpool Street, Liverpool Street, 1163"
Oxford Street,1164,Oxford Street,8.4748,-13.2242,"Oxford Street, Oxford Street, 1164"
Campbell Street,1185,Campbell Street,8.4760,-13.2285,"Campbell Street, Campbell Street, 1185"
Bath Street,1186,Bath Street,8.4765,-13.2282,"Bath Street, Bath Street, 1186"
Martin Street,1187,Martin Street,8.4770,-13.2280,"Martin Street, Martin Street, 1187"
Percival Street,1188,Percival Street,8.4763,-13.2252,"Percival Street, Percival Street, 1188"
Soldier Street,1189,Soldier Street,8.4748,-13.2242,"Soldier Street, Soldier Street, 1189"
Daniel Street,1190,Daniel Street,8.4758,-13.2248,"Daniel Street, Daniel Street, 1190"
Trelawney Street,1191,Trelawney Street,8.4752,-13.2245,"Trelawney Street, Trelawney Street, 1191"
Short Street,1192,Short Street,8.4762,-13.2270,"Short Street, Short Street, 1192"
Back Street,1193,Back Street,8.4775,-13.2015,"Back Street, Back Street, 1193"
Savage Square,1194,Savage Square,8.4885,-13.2048,"Savage Square, Savage Square, 1194"
Pultney Street,1195,Pultney Street,8.4888,-13.2055,"Pultney Street, Pultney Street, 1195"
Ascension Town Road,1196,Ascension Town,8.4950,-13.1400,"Ascension Town Road, Ascension Town, 1196"
Funkia Road,1197,Funkia,8.4920,-13.1450,"Funkia Road, Funkia, 1197"
Kaningo Road,1198,Kaningo,8.4890,-13.1500,"Kaningo Road, Kaningo, 1198"
Rokupa Road,1199,Rokupa,8.4850,-13.1550,"Rokupa Road, Rokupa, 1199"
