street_name,postal_code,zone_name,latitude,longitude,full_address
Daniel Street Junction,1190,Daniel Street,8.4760,-13.2250,"Daniel Street Junction, Daniel Street, 1190"
Daniel Street Upper,1190,Daniel Street,8.4762,-13.2252,"Daniel Street Upper, Daniel Street, 1190"
Daniel Street Lower,1190,Daniel Street,8.4756,-13.2246,"Daniel Street Lower, Daniel Street, 1190"
Trelawney Street,1191,Trelawney Street,8.4752,-13.2245,"Trelawney Street, Trelawney Street, 1191"
Trelawney Street Junction,1191,Trelawney Street,8.4754,-13.2247,"Trelawney Street Junction, Trelawney Street, 1191"
Trelawney Street Upper,1191,Trelawney Street,8.4756,-13.2249,"Trelawney Street Upper, Trelawney Street, 1191"
Trelawney Street Lower,1191,Trelawney Street,8.4750,-13.2243,"Trelawney Street Lower, Trelawney Street, 1191"
Short Street,1192,Short Street,8.4762,-13.2270,"Short Street, Short Street, 1192"
Short Street Junction,1192,Short Street,8.4764,-13.2272,"Short Street Junction, Short Street, 1192"
Short Street Upper,1192,Short Street,8.4766,-13.2274,"Short Street Upper, Short Street, 1192"
Short Street Lower,1192,Short Street,8.4760,-13.2268,"Short Street Lower, Short Street, 1192"
Back Street,1193,Back Street,8.4775,-13.2015,"Back Street, Back Street, 1193"
Back Street Junction,1193,Back Street,8.4777,-13.2017,"Back Street Junction, Back Street, 1193"
Back Street Upper,1193,Back Street,8.4779,-13.2019,"Back Street Upper, Back Street, 1193"
Back Street Lower,1193,Back Street,8.4773,-13.2013,"Back Street Lower, Back Street, 1193"
Kroo Bay Road,1132,Kroo Bay,8.4755,-13.2290,"Kroo Bay Road, Kroo Bay, 1132"
Kroo Bay Junction,1132,Kroo Bay,8.4757,-13.2292,"Kroo Bay Junction, Kroo Bay, 1132"
Kroo Bay Bridge,1132,Kroo Bay,8.4759,-13.2294,"Kroo Bay Bridge, Kroo Bay, 1132"
Kroo Bay Market,1132,Kroo Bay,8.4753,-13.2288,"Kroo Bay Market, Kroo Bay, 1132"
Mabella Road,1137,Mabella,8.4750,-13.2280,"Mabella Road, Mabella, 1137"
Mabella Junction,1137,Mabella,8.4752,-13.2282,"Mabella Junction, Mabella, 1137"
Mabella Market Road,1137,Mabella,8.4754,-13.2284,"Mabella Market Road, Mabella, 1137"
Mabella Wharf Road,1137,Mabella,8.4748,-13.2278,"Mabella Wharf Road, Mabella, 1137"
Sawpit Road,1138,Sawpit,8.4745,-13.2275,"Sawpit Road, Sawpit, 1138"
Sawpit Junction,1138,Sawpit,8.4747,-13.2277,"Sawpit Junction, Sawpit, 1138"
Sawpit Market Road,1138,Sawpit,8.4749,-13.2279,"Sawpit Market Road, Sawpit, 1138"
Susan's Bay Road,1133,Susan's Bay,8.4795,-13.2020,"Susan's Bay Road, Susan's Bay, 1133"
Susan's Bay Junction,1133,Susan's Bay,8.4797,-13.2022,"Susan's Bay Junction, Susan's Bay, 1133"
Susan's Bay Wharf Road,1133,Susan's Bay,8.4799,-13.2024,"Susan's Bay Wharf Road, Susan's Bay, 1133"
Susan's Bay Market Road,1133,Susan's Bay,8.4793,-13.2018,"Susan's Bay Market Road, Susan's Bay, 1133"
Magazine Cut Road,1134,Magazine Cut,8.4785,-13.2000,"Magazine Cut Road, Magazine Cut, 1134"
Magazine Cut Junction,1134,Magazine Cut,8.4787,-13.2002,"Magazine Cut Junction, Magazine Cut, 1134"
Magazine Wharf Road,1134,Magazine Cut,8.4789,-13.2004,"Magazine Wharf Road, Magazine Cut, 1134"
Thunder Hill Road,1135,Thunder Hill,8.4782,-13.2005,"Thunder Hill Road, Thunder Hill, 1135"
Thunder Hill Junction,1135,Thunder Hill,8.4784,-13.2007,"Thunder Hill Junction, Thunder Hill, 1135"
Thunder Hill Wharf Road,1135,Thunder Hill,8.4786,-13.2009,"Thunder Hill Wharf Road, Thunder Hill, 1135"
Big Wharf Road,1136,Big Wharf,8.4790,-13.2015,"Big Wharf Road, Big Wharf, 1136"
Big Wharf Junction,1136,Big Wharf,8.4792,-13.2017,"Big Wharf Junction, Big Wharf, 1136"
Big Wharf Main Road,1136,Big Wharf,8.4794,-13.2019,"Big Wharf Main Road, Big Wharf, 1136"
Big Wharf Market Road,1136,Big Wharf,8.4788,-13.2013,"Big Wharf Market Road, Big Wharf, 1136"
Kingtom Road,1130,Kingtom,8.4800,-13.2560,"Kingtom Road, Kingtom, 1130"
Kingtom Cemetery Road,1130,Kingtom,8.4805,-13.2565,"Kingtom Cemetery Road, Kingtom, 1130"
Kingtom Junction,1130,Kingtom,8.4798,-13.2558,"Kingtom Junction, Kingtom, 1130"
Kingtom Wharf Road,1130,Kingtom,8.4810,-13.2570,"Kingtom Wharf Road, Kingtom, 1130"
Kingtom Industrial Road,1130,Kingtom,8.4815,-13.2575,"Kingtom Industrial Road, Kingtom, 1130"
Kingtom Police Road,1130,Kingtom,8.4803,-13.2562,"Kingtom Police Road, Kingtom, 1130"
Ferry Road,1180,Ferry Road,8.4802,-13.2558,"Ferry Road, Ferry Road, 1180"
Ferry Road Junction,1180,Ferry Road,8.4804,-13.2560,"Ferry Road Junction, Ferry Road, 1180"
Ferry Terminal Road,1180,Ferry Road,8.4806,-13.2562,"Ferry Terminal Road, Ferry Road, 1180"
Government Wharf Road,1181,Government Wharf,8.4808,-13.2560,"Government Wharf Road, Government Wharf, 1181"
Government Wharf Junction,1181,Government Wharf,8.4810,-13.2562,"Government Wharf Junction, Government Wharf, 1181"
Government Wharf Main Road,1181,Government Wharf,8.4812,-13.2564,"Government Wharf Main Road, Government Wharf, 1181"
Customs Wharf Road,1181,Government Wharf,8.4814,-13.2566,"Customs Wharf Road, Government Wharf, 1181"
Queen Elizabeth Quay Road,1182,Queen Elizabeth Quay,8.4810,-13.2565,"Queen Elizabeth Quay Road, Queen Elizabeth Quay, 1182"
QE Quay Junction,1182,Queen Elizabeth Quay,8.4812,-13.2567,"QE Quay Junction, Queen Elizabeth Quay, 1182"
QE Quay Terminal Road,1182,Queen Elizabeth Quay,8.4814,-13.2569,"QE Quay Terminal Road, Queen Elizabeth Quay, 1182"
Freetown Port Road,1182,Queen Elizabeth Quay,8.4816,-13.2571,"Freetown Port Road, Queen Elizabeth Quay, 1182"
Fisher Street,1183,Fisher Street,8.4805,-13.2555,"Fisher Street, Fisher Street, 1183"
Fisher Street Junction,1183,Fisher Street,8.4807,-13.2557,"Fisher Street Junction, Fisher Street, 1183"
Fisher Lane,1183,Fisher Street,8.4809,-13.2559,"Fisher Lane, Fisher Street, 1183"
Regent Street,1100,Central Freetown,8.4788,-13.2286,"Regent Street, Central Freetown, 1100"
Kissy Street,1100,Central Freetown,8.4784,-13.2282,"Kissy Street, Central Freetown, 1100"
Kissy Road Junction,1100,Central Freetown,8.4786,-13.2284,"Kissy Road Junction, Central Freetown, 1100"
Waterloo Street,1100,Central Freetown,8.4780,-13.2278,"Waterloo Street, Central Freetown, 1100"
Wellington Street,1100,Central Freetown,8.4778,-13.2276,"Wellington Street, Central Freetown, 1100"
Freetown Central Market,1100,Central Freetown,8.4775,-13.2273,"Freetown Central Market, Central Freetown, 1100"
Big Market Road,1100,Central Freetown,8.4773,-13.2271,"Big Market Road, Central Freetown, 1100"
PZ Road,1100,Central Freetown,8.4771,-13.2269,"PZ Road, Central Freetown, 1100"
Abacha Street,1100,Central Freetown,8.4769,-13.2267,"Abacha Street, Central Freetown, 1100"
Sani Abacha Street,1100,Central Freetown,8.4767,-13.2265,"Sani Abacha Street, Central Freetown, 1100"
Goderich Street,1100,Central Freetown,8.4765,-13.2263,"Goderich Street, Central Freetown, 1100"
Lumley Street,1100,Central Freetown,8.4763,-13.2261,"Lumley Street, Central Freetown, 1100"
Savage Street,1194,Savage Square,8.4885,-13.2048,"Savage Street, Savage Square, 1194"
Savage Square Road,1194,Savage Square,8.4887,-13.2050,"Savage Square Road, Savage Square, 1194"
Savage Square Junction,1194,Savage Square,8.4889,-13.2052,"Savage Square Junction, Savage Square, 1194"
Savage Lane,1194,Savage Square,8.4883,-13.2046,"Savage Lane, Savage Square, 1194"
Pultney Street,1195,Pultney Street,8.4888,-13.2055,"Pultney Street, Pultney Street, 1195"
Pultney Street Junction,1195,Pultney Street,8.4890,-13.2057,"Pultney Street Junction, Pultney Street, 1195"
Pultney Lane,1195,Pultney Street,8.4892,-13.2059,"Pultney Lane, Pultney Street, 1195"
